iter	Passed	Remaining
0	5	2885
1	10	2588
2	15	2506
3	19	2399
4	23	2338
5	27	2249
6	32	2318
7	37	2280
8	40	2222
9	44	2188
10	48	2171
11	53	2180
12	58	2174
13	62	2175
14	67	2173
15	71	2164
16	76	2168
17	81	2185
18	87	2219
19	92	2226
20	97	2235
21	101	2204
22	105	2190
23	109	2176
24	113	2160
25	118	2159
26	123	2163
27	128	2164
28	134	2191
29	139	2179
30	143	2173
31	148	2165
32	152	2163
33	157	2153
34	162	2161
35	169	2184
36	174	2184
37	179	2183
38	183	2172
39	188	2171
40	192	2156
41	197	2155
42	202	2152
43	206	2142
44	210	2131
45	216	2133
46	221	2136
47	226	2135
48	231	2132
49	236	2128
50	241	2122
51	246	2121
52	250	2115
53	255	2109
54	259	2101
55	264	2095
56	268	2090
57	273	2082
58	278	2079
59	282	2072
60	286	2062
61	290	2051
62	294	2043
63	299	2041
64	304	2034
65	309	2036
66	314	2035
67	318	2026
68	325	2030
69	329	2023
70	333	2017
71	340	2022
72	345	2019
73	350	2015
74	356	2022
75	361	2018
76	367	2020
77	372	2018
78	376	2008
79	381	2002
80	385	1993
81	389	1983
82	393	1978
83	397	1970
84	401	1962
85	405	1952
86	410	1949
87	414	1941
88	419	1935
89	423	1930
90	428	1924
91	434	1928
92	440	1925
93	444	1918
94	449	1916
95	453	1909
96	458	1903
97	462	1896
98	466	1891
99	471	1884
100	475	1879
101	480	1873
102	484	1869
103	490	1866
104	494	1860
105	499	1855
106	504	1853
107	509	1848
108	513	1842
109	518	1837
110	523	1834
111	527	1828
112	532	1822
113	536	1815
114	539	1806
115	544	1801
116	549	1799
117	553	1792
118	557	1785
119	561	1777
120	565	1770
121	571	1772
122	577	1769
123	581	1762
124	585	1756
125	589	1749
126	594	1744
127	598	1738
128	602	1732
129	606	1726
130	611	1721
131	616	1719
132	621	1714
133	625	1707
134	629	1701
135	633	1696
136	638	1691
137	642	1684
138	648	1685
139	653	1681
140	659	1679
141	665	1678
142	668	1669
143	673	1665
144	677	1658
145	681	1652
146	684	1643
147	688	1637
148	693	1633
149	697	1627
150	702	1624
151	706	1617
152	709	1610
153	714	1605
154	718	1599
155	725	1600
156	730	1595
157	738	1599
